playing+videogames,0.101
walking,0.044
adult+male+speaking,0.040
adult+female+speaking,0.038
standing,0.034
adult+female+singing,0.027
starting,0.021
rising,0.019
talking,0.017
hugging,0.017
stomping,0.017
adult+male+singing,0.015
carrying,0.012
asking,0.011
running,0.011
fighting,0.011
aiming,0.010
raining,0.010
pointing,0.010
discussing,0.010
performing,0.010
playing,0.009
attacking,0.009
rocking,0.009
marching,0.009
turning,0.008
clipping,0.008
roaring,0.008
celebrating,0.007
saluting,0.007
filming,0.007
guarding,0.007
singing,0.006
joining,0.006
flicking,0.006
destroying,0.005
arresting,0.005
dancing,0.005
smiling,0.005
queuing,0.005
crushing,0.005
slapping,0.005
socializing,0.005
parading,0.004
burning,0.004
cuddling,0.004
cramming,0.004
entering,0.004
giving,0.004
ascending,0.004
playing+music,0.004
sitting,0.004
lifting,0.004
raising,0.004
protesting,0.004
hunting,0.004
plunging,0.004
cracking,0.004
knocking,0.004
spinning,0.003
smashing,0.003
swerving,0.003
gripping,0.003
exiting,0.003
bowing,0.003
resting,0.003
burying,0.003
rolling,0.003
waving,0.003
shrugging,0.003
locking,0.003
shooting,0.003
photographing,0.003
blocking,0.003
tripping,0.003
twisting,0.003
applauding,0.003
sprinting,0.003
grinning,0.003
kissing,0.003
punching,0.003
reaching,0.003
falling,0.003
leaning,0.003
storming,0.003
stopping,0.003
colliding,0.003
breaking,0.003
loading,0.003
smoking,0.002
handcuffing,0.002
flooding,0.002
stealing,0.002
drumming,0.002
hiking,0.002
dropping,0.002
squinting,0.002
combusting,0.002
jogging,0.002
praying,0.002
laughing,0.002
dragging,0.002
flowing,0.002
lecturing,0.002
bouncing,0.002
instructing,0.002
hitting,0.002
cheering,0.002
hammering,0.002
coaching,0.002
bulldozing,0.002
covering,0.002
descending,0.002
clapping,0.002
hanging,0.002
selling,0.002
competing,0.002
splashing,0.002
teaching,0.002
pouring,0.002
boxing,0.002
snapping,0.002
marrying,0.002
interviewing,0.002
working,0.002
preaching,0.002
snowing,0.002
dressing,0.002
poking,0.002
emptying,0.002
tattooing,0.002
hitchhiking,0.002
crafting,0.002
pushing,0.002
speaking,0.002
sniffing,0.002
digging,0.002
skipping,0.002
juggling,0.002
drenching,0.002
snuggling,0.002
dusting,0.001
crouching,0.001
planting,0.001
drinking,0.001
closing,0.001
shaking,0.001
putting,0.001
kicking,0.001
smelling,0.001
squatting,0.001
leaping,0.001
pulling,0.001
opening,0.001
imitating,0.001
shouting,0.001
licking,0.001
bending,0.001
shopping,0.001
pressing,0.001
picking,0.001
filling,0.001
crashing,0.001
jumping,0.001
throwing,0.001
coughing,0.001
sowing,0.001
officiating,0.001
rowing,0.001
placing,0.001
kneeling,0.001
sneezing,0.001
giggling,0.001
blowing,0.001
sawing,0.001
mowing,0.001
chasing,0.001
sleeping,0.001
spraying,0.001
weeding,0.001
driving,0.001
constructing,0.001
inflating,0.001
whistling,0.001
tearing,0.001
clinging,0.001
frowning,0.001
spilling,0.001
calling,0.001
screwing,0.001
flying,0.001
playing+sports,0.001
punting,0.001
crying,0.001
exercising,0.001
stretching,0.001
gardening,0.001
biting,0.001
riding,0.001
sailing,0.001
slipping,0.001
fencing,0.001
balancing,0.001
flipping,0.001
playing+fun,0.001
spitting,0.001
crawling,0.001
watering,0.001
building,0.001
catching,0.001
paying,0.001
camping,0.001
operating,0.001
tuning,0.001
telephoning,0.001
slicing,0.001
bicycling,0.001
dripping,0.001
cutting,0.001
tapping,0.001
painting,0.001
cooking,0.001
chopping,0.001
launching,0.001
bowling,0.001
child+singing,0.001
chewing,0.001
winking,0.001
buttoning,0.001
drying,0.001
clearing,0.001
sliding,0.001
baptizing,0.001
bubbling,0.001
draining,0.001
swinging,0.001
assembling,0.001
serving,0.001
dining,0.001
removing,0.001
racing,0.001
towing,0.001
measuring,0.001
unloading,0.001
drilling,0.001
plugging,0.001
rubbing,0.001
floating,0.001
scratching,0.001
signing,0.001
steering,0.001
stacking,0.001
howling,0.001
extinguishing,0.001
sprinkling,0.001
waking,0.001
spreading,0.001
typing,0.001
erupting,0.001
massaging,0.001
rafting,0.001
wrestling,0.001
buying,0.001
clawing,0.000
reading,0.000
climbing,0.000
eating,0.000
diving,0.000
taping,0.000
mopping,0.000
gambling,0.000
cheerleading,0.000
fishing,0.000
packaging,0.000
boating,0.000
trimming,0.000
barking,0.000
stirring,0.000
wetting,0.000
skating,0.000
tickling,0.000
drawing,0.000
packing,0.000
stitching,0.000
submerging,0.000
writing,0.000
autographing,0.000
leaking,0.000
stroking,0.000
shoveling,0.000
frying,0.000
shredding,0.000
studying,0.000
child+speaking,0.000
boiling,0.000
baking,0.000
peeling,0.000
overflowing,0.000
combing,0.000
rinsing,0.000
piloting,0.000
skiing,0.000
manicuring,0.000
swimming,0.000
pedaling,0.000
barbecuing,0.000
injecting,0.000
bathing,0.000
tying,0.000
handwriting,0.000
landing,0.000
wrapping,0.000
pitching,0.000
dunking,0.000
sewing,0.000
fueling,0.000
feeding,0.000
grooming,0.000
sweeping,0.000
grilling,0.000
sketching,0.000
sanding,0.000
boarding,0.000
yawning,0.000
knitting,0.000
repairing,0.000
washing,0.000
dipping,0.000
surfing,0.000
cleaning,0.000
unpacking,0.000
shaving,0.000
carving,0.000
scrubbing,0.000
vacuuming,0.000
brushing,0.000
folding,0.000
waxing,0.000
welding,0.000
